( 1,0,0)(  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  4 24  4 48  0 )
( 1,0,0)(  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  4  4 48  0 24  0 )
( 1,0,0)(  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  8  0 74  0  0  0 )
( 1,0,0)(  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 12  0 72  0  0  0 )
( 1,0,0)(  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 12  0 72  0  0  0 )
( 1,0,0)(  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  4  8 46  4 46  0 )
( 1,0,0)(  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  6 23  8 71  0 )
( 1,0,0)(  0  0  0  0  0  0  0  0  0  0  0  4  0  8 46  0  0  0  4 46  0 )
( 1,0,0)(  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  6 23  8 71  0 )
( 1,0,0)(  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  6 23  8 71  0 )
( 1,0,0)(  0  0  0  0  0  0  0  0  0  0  0  4  0  8 46  0  0  0  4 46  0 )
( 1,0,0)(  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  4  8 46  4 46  0 )
( 1,0,0)(  0  0  0  0  0  0  0  0  0  0  0  4  0  8 46  0  0  0  4 46  0 )
( 1,0,0)(  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 12  4 70  0 24  0 )
( 1,0,0)(  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 12 98  0 )
( 1,0,0)(  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 12  2 71  0 25  0 )
( 1,0,0)(  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 12  6 69  0 23  0 )
( 1,0,0)(  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 12  6 69  0 23  0 )
( 1,0,0)(  0  0  0  0  0  0  0  0  0  0  0  0  0  6 23  0  0  0 12 69  0 )
( 1,0,0)(  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 12  6 69  0 23  0 )
( 1,0,0)(  0  0  0  0  0  0  0  0  0  0  0  0  0  6 23  0  0  0 12 69  0 )
( 1,0,0)(  0  0  0  0  0  0  0  0  0  0  0 12  0  6 69  0  0  0  0 23  0 )
( 1,0,0)(  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 16  0 96  0  0  0 )
